################################################################
# ThreatFox IOCs: recent additions - CSV format                #
# Last updated: 2026-04-12 04:49:28 UTC                        #
#                                                              #
# Terms Of Use: https://threatfox.abuse.ch/faq/#tos            #
# For questions please contact threatfox [at] abuse.ch         #
################################################################
#
# "first_seen_utc","ioc_id","ioc_value","ioc_type","threat_type","fk_malware","malware_alias","malware_printable","last_seen_utc","confidence_level","is_compromised","reference","tags","anonymous","reporter"
"2026-04-12 03:19:20", "1784508", "gate6-post.zorvelixan.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 03:20:42", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 03:13:43", "1784507", "web5-relay.zorvelixan.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 03:15:39", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 03:08:11", "1784506", "sync4-meta.zorvelixan.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 03:09:25", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 03:02:34", "1784505", "node3-alpha.zorvelixan.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 03:04:21", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 02:57:02", "1784504", "api2-delta.zorvelixan.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 02:58:19", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 02:51:16", "1784503", "flow1-point.zorvelixan.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 02:53:12", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 02:45:40", "1784502", "bash6-cmd.qul7vexar.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 02:50:35", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 02:40:35", "1784501", "stat5-info.qul7vexar.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 02:41:46", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 02:34:59", "1784499", "top4-load.qul7vexar.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 02:35:32", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 02:28:51", "1784498", "pid3-check.qul7vexar.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 02:30:27", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-12 02:23:36", "1784496", "job2-run.qul7vexar.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 02:24:41", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 02:17:51", "1784494", "cron1-task.qul7vexar.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 02:19:21", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 02:12:12", "1784493", "font6-face.norxelium.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 02:13:19", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-12 02:06:41", "1784492", "img5-asset.norxelium.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 02:07:56", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-12 02:01:35", "1784490", "SerdyuK2-50934.portmap.host", "domain", "botnet_cc", "win.xworm", "None", "XWorm", "", "100", "False", "https://tria.ge/260412-anzr4aes7w", "XWorm", "0", "dyingbreeds_"
"2026-04-12 02:01:04", "1784489", "js4-script.norxelium.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 02:02:40", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-12 02:00:05", "1784488", "soste15oct.duckdns.org", "domain", "botnet_cc", "win.remcos", "RemcosRAT,Remvio,Socmer", "Remcos", "", "100", "False", "https://tria.ge/260412-bx5kdaez3w", "Remcos", "0", "dyingbreeds_"
"2026-04-12 01:55:29", "1784486", "tag3-attr.norxelium.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 01:57:17", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 01:49:48", "1784483", "css2-rule.norxelium.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 01:51:02", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 01:44:12", "1784481", "dom1-tree.norxelium.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 01:45:53", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 01:38:44", "1784479", "lib6-share.bryo2maxil.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 01:39:41", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 01:32:55", "1784476", "bin5-exec.bryo2maxil.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 01:34:31", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 01:27:13", "1784475", "tmp4-path.bryo2maxil.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 01:29:23", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-12 01:21:41", "1784474", "dir3-index.bryo2maxil.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 01:23:08", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 01:16:00", "1784473", "file2-obj.bryo2maxil.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 01:17:44", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 01:10:27", "1784472", "raw1-blob.bryo2maxil.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 01:12:40", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 01:04:46", "1784471", "txt6-info.travexon.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 01:06:22", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 00:59:34", "1784470", "ptr5-rev.travexon.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 01:00:53", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 00:53:54", "1784469", "soa4-start.travexon.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 00:55:31", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 00:48:13", "1784468", "ttl3-limit.travexon.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 00:49:16", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 00:42:36", "1784467", "rec2-record.travexon.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 00:44:11", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 00:36:59", "1784466", "zone1-dns.travexon.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 00:38:06", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 00:31:26", "1784465", "hop6-route.zeq9lora.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 00:33:32", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 00:25:51", "1784464", "ping5-test.zeq9lora.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 00:30:26", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 00:20:24", "1784463", "salt4-byte.zeq9lora.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 00:21:30", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 00:14:49", "1784462", "hash3-list.zeq9lora.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 00:16:21", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 00:08:41", "1784461", "seed2-node.zeq9lora.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 00:13:38", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 00:05:32", "1784460", "f13hwmuq.amb1ing-farm.digital", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "", "100", "False", "None", "clearfake", "1", "ttakvam"
"2026-04-12 00:05:31", "1784459", "2hqc55jr.amb1ing-farm.digital", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 00:08:09", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 00:03:17", "1784458", "peer1-link.zeq9lora.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 00:05:01", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 23:57:57", "1784457", "mac6-bind.krinoxel.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 00:00:37", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 23:51:51", "1784456", "udp5-recv.krinoxel.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 23:56:52", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 23:46:14", "1784455", "tcp4-send.krinoxel.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 23:47:32", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-11 23:40:49", "1784454", "json3-io.krinoxel.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 23:41:59", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 23:35:27", "1784452", "xml2-data.krinoxel.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 23:36:57", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 23:29:43", "1784451", "bit1-flow.krinoxel.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 23:31:00", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-11 23:23:50", "1784450", "ssh6-port.voxi3tral.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 23:25:10", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 23:18:17", "1784448", "git5-pull.voxi3tral.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 23:19:07", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 23:13:13", "1784447", "ops4-cache.voxi3tral.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 23:14:34", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-11 23:06:55", "1784446", "dev3-track.voxi3tral.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 23:09:20", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 23:01:47", "1784445", "api2-patch.voxi3tral.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 23:02:28", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 22:56:17", "1784444", "key1-store.voxi3tral.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 22:56:58", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 22:50:18", "1784443", "wan6-pipe.drumekal.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 22:50:20", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-11 22:44:55", "1784442", "vpn5-line.drumekal.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 22:45:30", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 22:39:21", "1784441", "lan4-tunnel.drumekal.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 22:40:16", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-11 22:33:15", "1784440", "db3-storage.drumekal.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 22:34:59", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 22:27:47", "1784439", "load2-bal.drumekal.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 22:29:02", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 22:25:00", "1784438", "https://ghanioilandgas.com/ghanioilandgas.zip", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "100", "False", "", "booking.com,ClickFix,payload", "0", "HuntYethHounds"
"2026-04-11 22:24:44", "1784437", "ghanioilandgas.com", "domain", "payload_delivery", "unknown", "None", "Unknown malware", "", "100", "False", "", "booking.com,ClickFix,payload", "0", "HuntYethHounds"
"2026-04-11 22:22:21", "1784436", "part1-state.drumekal.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 22:23:54", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 22:16:49", "1784435", "app6-router.praxo6lin.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 22:17:46", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 22:11:22", "1784434", "log5-stream.praxo6lin.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 22:12:36", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 22:05:17", "1784433", "web4-proxy.praxo6lin.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 22:07:25", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 21:59:38", "1784432", "dns3-check.praxo6lin.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 22:01:12", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 21:54:00", "1784429", "cdn2-fetch.praxo6lin.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 21:56:02", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 21:49:57", "1784428", "https://trymefislqe.com/m7qdgYFGNyuQCnCTCkmZvHfF8eukx1b6?id=", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "100", "False", "", "booking.com,ClickFix", "0", "HuntYethHounds"
"2026-04-11 21:48:28", "1784427", "beam1-point.praxo6lin.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 21:49:56", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 21:47:03", "1784426", "trymefislqe.com", "domain", "payload_delivery", "unknown", "None", "Unknown malware", "", "100", "False", "", "booking.com,ClickFix", "0", "HuntYethHounds"
"2026-04-11 21:42:56", "1784424", "net6-access.xelvorinax.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 21:44:42", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 21:41:08", "1784423", "o3pjh3hs.paragonbloomera.digital", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "", "100", "False", "None", "clearfake", "1", "ttakvam"
"2026-04-11 21:40:21", "1784422", "p0eoikvc.paragonbloomera.digital", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 21:42:10", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 21:37:33", "1784421", "site5-core.xelvorinax.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 21:38:24", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 21:35:38", "1784420", "158.160.75.185:40432", "ip:port", "botnet_cc", "win.raton_rat", "None", "RatonRAT", "", "100", "False", "None", "RatonRAT", "0", "abuse_ch"
"2026-04-11 21:33:03", "1784419", "https://www.extranetpanepartner.com/booking.com_files/vp32ssdaq.html", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "100", "False", "", "booking.com,ClickFix", "0", "HuntYethHounds"
"2026-04-11 21:32:48", "1784418", "extranetpanepartner.com", "domain", "payload_delivery", "unknown", "None", "Unknown malware", "", "100", "False", "", "booking.com,ClickFix", "0", "HuntYethHounds"
"2026-04-11 21:31:54", "1784416", "back4-unit.xelvorinax.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 21:34:48", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 21:31:54", "1784417", "https://www.eatonnanqiaohotel.com/booking.com_files/vp32ssdaq.html", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "100", "False", "", "booking.com,ClickFix", "0", "HuntYethHounds"
"2026-04-11 21:31:37", "1784415", "eatonnanqiaohotel.com", "domain", "payload_delivery", "unknown", "None", "Unknown malware", "", "100", "False", "", "booking.com,ClickFix", "0", "HuntYethHounds"
"2026-04-11 21:28:48", "1784414", "signinapartnerextranet.com", "domain", "payload_delivery", "unknown", "None", "Unknown malware", "2026-04-11 21:34:07", "100", "False", "", "booking.com,ClickFix", "0", "HuntYethHounds"
"2026-04-11 21:28:24", "1784413", "https://signinapartnerextranet.com/booking.com_files/vp32ssdaq.html", "url", "payload_delivery", "unknown", "None", "Unknown malware", "2026-04-11 23:30:26", "100", "False", "", "booking.com,ClickFix", "0", "HuntYethHounds"
"2026-04-11 21:26:58", "1784412", "https://hotelsignbkngguest.help/booking.com_files/vp32ssdaq.html", "url", "payload_delivery", "unknown", "None", "Unknown malware", "2026-04-12 03:30:30", "100", "False", "", "booking.com,ClickFix", "0", "HuntYethHounds"
"2026-04-11 21:26:43", "1784411", "hotelsignbkngguest.help", "domain", "payload_delivery", "unknown", "None", "Unknown malware", "", "100", "False", "", "booking.com,ClickFix", "0", "HuntYethHounds"
"2026-04-11 21:26:14", "1784410", "srv3-bridge.xelvorinax.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 21:28:09", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 21:20:30", "1784409", "host2-entry.xelvorinax.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 21:21:14", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 21:14:59", "1784408", "edge1-layer.xelvorinax.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 21:15:50", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 21:07:40", "1784407", "velcreston.norva2xel.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 21:10:15", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 21:02:06", "1784406", "oew4ln.norva2xel.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 21:06:56", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 20:58:10", "1784405", "https://claudepage.pages.dev", "url", "payload_delivery", "unknown_stealer", "None", "Unknown Stealer", "", "100", "False", "", "Fake Claude,macOS", "0", "HuntYethHounds"
"2026-04-11 20:57:50", "1784404", "claudepage.pages.dev", "domain", "payload_delivery", "unknown_stealer", "None", "Unknown Stealer", "", "100", "False", "", "Fake Claude,macOS", "0", "HuntYethHounds"
"2026-04-11 20:56:40", "1784403", "obse1-cache.norva2xel.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 20:59:15", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 20:51:14", "1784402", "rp7gpk.norva2xel.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 20:55:41", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 20:46:24", "1784401", "https://www.mokonol.shop/xamster.html", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "100", "False", "", "ClickFix,xHamster", "0", "HuntYethHounds"
"2026-04-11 20:46:02", "1784400", "mokonol.shop", "domain", "payload_delivery", "unknown", "None", "Unknown malware", "", "100", "False", "", "ClickFix,xHamster", "0", "HuntYethHounds"
"2026-04-11 20:45:32", "1784399", "89gwwu.norva2xel.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 20:45:33", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-11 20:44:19", "1784398", "https://www.kantariki.su/xamster.html", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "100", "False", "", "ClickFix,xHamster", "0", "HuntYethHounds"
"2026-04-11 20:43:53", "1784397", "kantariki.su", "domain", "payload_delivery", "unknown", "None", "Unknown malware", "", "100", "False", "", "ClickFix,xHamster", "0", "HuntYethHounds"
"2026-04-11 20:41:54", "1784396", "http://www.leberinda.pro/xamster.html", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "100", "False", "", "ClickFix,xHamster", "0", "HuntYethHounds"
"2026-04-11 20:41:33", "1784395", "leberinda.pro", "domain", "payload_delivery", "unknown", "None", "Unknown malware", "", "100", "False", "", "ClickFix,xHamster", "0", "HuntYethHounds"
"2026-04-11 20:39:37", "1784394", "part1c2-flow.norva2xel.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 20:41:34", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 20:39:25", "1784393", "91.92.240.50:80", "ip:port", "payload_delivery", "unknown", "None", "Unknown malware", "", "100", "False", "", "c2,ClickFix,xHamster", "0", "HuntYethHounds"
"2026-04-11 20:38:33", "1784392", "166.1.89.80:80", "ip:port", "payload_delivery", "unknown", "None", "Unknown malware", "", "100", "False", "", "c2,ClickFix,xHamster", "0", "HuntYethHounds"
"2026-04-11 20:37:05", "1784391", "85.239.147.6:80", "ip:port", "payload_delivery", "unknown", "None", "Unknown malware", "", "100", "False", "", "c2,ClickFix,xHamster", "0", "HuntYethHounds"
"2026-04-11 20:35:55", "1784390", "94.154.35.25:80", "ip:port", "payload_delivery", "unknown", "None", "Unknown malware", "", "100", "False", "", "c2,ClickFix,xHamster", "0", "HuntYethHounds"
"2026-04-11 20:34:01", "1784389", "uwz7.veltraxis.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 20:36:25", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 20:32:53", "1784388", "195.133.9.138:80", "ip:port", "payload_delivery", "unknown", "None", "Unknown malware", "", "100", "False", "", "ClickFix,xHamster", "0", "HuntYethHounds"
"2026-04-11 20:31:33", "1784387", "103.27.156.239:80", "ip:port", "payload_delivery", "unknown", "None", "Unknown malware", "", "100", "False", "", "ClickFix,xHamster", "0", "HuntYethHounds"
"2026-04-11 20:29:55", "1784386", "http://195.133.9.138/final/random.exe", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "100", "False", "", "ClickFix,Rock4er,User-Agent Check,xHamster", "0", "HuntYethHounds"
"2026-04-11 20:28:21", "1784385", "cdecj.veltraxis.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-11 20:33:18", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-11 20:27:24", "1784384", "http://195.133.9.138/app/window.exe", "url", "payload_delivery", "unknown", "None", "Unknown malware", "", "100", "False", "", "ClickFix,Rock4er,User-Agent Check,xHamster", "0", "HuntYethHounds"
